sku,nombre_producto,categoria,es_fragil,cantidad_total,cantidad_disponible_almacen,cantidad_en_ruta,valor_unitario_usd,prioridad_negocio,ubicacion_pasillo
FAR-001,Vacunas COVID (Lote A),Farma,Sí,98,77,16,5000,Crítica,Pasillo-B-2
TEC-001,Laptop Gaming X1 Ultra,Tecnología,Sí,68,48,18,2500,Crítica,Pasillo-A-20
IND-001,Motor Eléctrico Industrial,Industrial,No,189,131,45,3000,Crítica,Pasillo-A-12
MED-002,Monitor Médico 4K,Salud,Sí,210,175,34,1200,Crítica,Pasillo-C-1
HOG-876-A,Silla Metal Darkolivegreen,Hogar,No,74,63,9,226,Baja,Pasillo-A-19
HOG-264-A,Mesa Metal Indianred,Hogar,No,278,198,75,322,Alta,Pasillo-A-1
HOG-282-C,Mesa Madera Chocolate,Hogar,No,97,84,10,123,Baja,Pasillo-A-7
TEC-158-C,Drone Pro Bisque,Tecnología,Sí,368,255,97,1363,Crítica,Pasillo-B-18
HOG-700-B,Sofá Madera Lightgray,Hogar,No,281,248,14,72,Baja,Pasillo-C-2
HOG-559-C,Sofá Madera Springgreen,Hogar,No,37,31,6,219,Baja,Pasillo-C-18
AUT-693-B,Batería V8 Chocolate,Automotriz,No,310,230,58,272,Baja,Pasillo-B-12
AUT-561-B,Frenos Hidráulico Olivedrab,Automotriz,No,444,323,97,109,Baja,Pasillo-C-3
AUT-910-A,Filtro Cerámico Skyblue,Automotriz,No,280,180,77,33,Baja,Pasillo-A-11
AUT-644-C,Filtro V8 Mediumblue,Automotriz,No,318,252,62,227,Baja,Pasillo-B-4
AUT-470-C,Bujía Cerámico Darkorchid,Automotriz,No,57,47,7,61,Baja,Pasillo-A-7
AUT-732-A,Aceite Cerámico Darkslategray,Automotriz,No,484,424,22,256,Baja,Pasillo-C-15
