sku,nombre_producto,categoria,es_fragil,cantidad_total,cantidad_disponible_almacen,cantidad_en_ruta,valor_unitario_usd,prioridad_negocio,ubicacion_pasillo
FAR-001,Vacunas COVID (Lote A),Farma,Sí,98,77,16,5000,Crítica,Pasillo-B-2
TEC-001,Laptop Gaming X1 Ultra,Tecnología,Sí,68,48,18,2500,Crítica,Pasillo-A-20
IND-001,Motor Eléctrico Industrial,Industrial,No,189,131,45,3000,Crítica,Pasillo-A-12
MED-002,Monitor Médico 4K,Salud,Sí,210,175,34,1200,Crítica,Pasillo-C-1
AUT-644-C,Filtro V8 Mediumblue,Automotriz,No,318,252,62,227,Baja,Pasillo-B-4
AUT-731-A,Filtro V8 Orchid,Automotriz,No,96,83,12,121,Baja,Pasillo-B-15
OFI-451-C,Toner Bond Limegreen,Oficina,No,346,262,64,89,Baja,Pasillo-A-12
TEC-830-B,Cámara Smart Mediumaquamarine,Tecnología,Sí,376,288,78,1457,Crítica,Pasillo-C-19
AUT-470-C,Bujía Cerámico Darkorchid,Automotriz,No,57,47,7,61,Baja,Pasillo-A-7
HOG-876-A,Silla Metal Darkolivegreen,Hogar,No,74,63,9,226,Baja,Pasillo-A-19
OFI-674-B,Carpetas Pack Navy,Oficina,No,49,42,5,66,Baja,Pasillo-C-6
HOG-264-A,Mesa Metal Indianred,Hogar,No,278,198,75,322,Alta,Pasillo-A-1
AUT-114-B,Filtro V8 Silver,Automotriz,No,136,126,6,180,Baja,Pasillo-C-5
OFI-746-B,Carpetas Pack Khaki,Oficina,No,315,225,59,59,Baja,Pasillo-A-6
HOG-998-A,Mesa Metal Purple,Hogar,No,414,269,107,340,Alta,Pasillo-B-17
AUT-732-A,Aceite Cerámico Darkslategray,Automotriz,No,484,424,22,256,Baja,Pasillo-C-15
HOG-282-C,Mesa Madera Chocolate,Hogar,No,97,84,10,123,Baja,Pasillo-A-7
AUT-115-B,Aceite Hidráulico Bisque,Automotriz,No,323,290,5,53,Baja,Pasillo-B-18
TEC-491-B,Hub Air Lightslategray,Tecnología,Sí,431,397,11,774,Alta,Pasillo-B-12
AUT-189-A,Aceite V8 Mediumspringgreen,Automotriz,No,211,162,38,231,Baja,Pasillo-B-20
TEC-676-A,Tablet Smart Yellow,Tecnología,Sí,447,335,88,532,Alta,Pasillo-A-15
AUT-769-A,Aceite Cerámico Darkkhaki,Automotriz,No,303,246,45,172,Baja,Pasillo-C-14
TEC-158-C,Drone Pro Bisque,Tecnología,Sí,368,255,97,1363,Crítica,Pasillo-B-18
HOG-226-B,Lámpara Madera Chocolate,Hogar,No,58,39,14,156,Baja,Pasillo-A-12
AUT-245-C,Filtro Cerámico Maroon,Automotriz,No,357,299,29,100,Baja,Pasillo-B-14
OFI-149-A,Toner Ejecutivo Darkslategray,Oficina,No,270,259,7,68,Baja,Pasillo-C-11
AUT-761-A,Bujía Hidráulico Snow,Automotriz,No,245,198,38,284,Baja,Pasillo-A-16
AUT-514-B,Aceite Hidráulico Olive,Automotriz,No,351,261,86,287,Baja,Pasillo-A-13
HOG-700-B,Sofá Madera Lightgray,Hogar,No,281,248,14,72,Baja,Pasillo-C-2
OFI-708-B,Papel Bond Darkblue,Oficina,No,78,58,14,70,Baja,Pasillo-C-14
HOG-818-C,Mesa Eco Peru,Hogar,No,440,326,84,321,Alta,Pasillo-A-3
HOG-559-C,Sofá Madera Springgreen,Hogar,No,37,31,6,219,Baja,Pasillo-C-18
HOG-280-B,Lámpara Eco Bisque,Hogar,No,329,298,6,387,Alta,Pasillo-C-6
AUT-977-A,Aceite V8 Ivory,Automotriz,No,81,60,21,109,Baja,Pasillo-C-19
OFI-920-A,Toner Ejecutivo Crimson,Oficina,No,201,147,34,67,Baja,Pasillo-A-15
OFI-500-A,Bolígrafos Ejecutivo Slateblue,Oficina,No,281,190,83,49,Baja,Pasillo-C-19
OFI-527-C,Carpetas Ejecutivo Orangered,Oficina,No,106,96,7,89,Baja,Pasillo-C-17
OFI-982-B,Papel Ejecutivo Pink,Oficina,No,381,344,16,72,Baja,Pasillo-A-18
HOG-769-A,Estante Confort Mediumseagreen,Hogar,No,332,262,66,65,Baja,Pasillo-B-12
AUT-693-B,Batería V8 Chocolate,Automotriz,No,310,230,58,272,Baja,Pasillo-B-12
TEC-931-B,Sensor Smart Gold,Tecnología,Sí,31,23,5,413,Alta,Pasillo-B-15
AUT-561-B,Frenos Hidráulico Olivedrab,Automotriz,No,444,323,97,109,Baja,Pasillo-C-3
AUT-641-B,Batería Hidráulico Pink,Automotriz,No,146,119,18,112,Baja,Pasillo-A-9
AUT-910-A,Filtro Cerámico Skyblue,Automotriz,No,280,180,77,33,Baja,Pasillo-A-11
AUT-990-A,Aceite Cerámico Gold,Automotriz,No,39,27,10,229,Baja,Pasillo-B-8
AUT-228-A,Aceite Hidráulico Olivedrab,Automotriz,No,376,320,47,192,Baja,Pasillo-B-20
TEC-667-A,Tablet Air Darkblue,Tecnología,Sí,154,114,33,370,Alta,Pasillo-B-11
TEC-666-A,Sensor Smart Darkcyan,Tecnología,Sí,383,268,82,168,Baja,Pasillo-B-4
TEC-511-B,Reloj Mini Lightsteelblue,Tecnología,Sí,217,201,12,959,Alta,Pasillo-A-20
